file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
132283-4-1in4-a-s_Export.xls,0,0,10,68,95.45454545454545,148.73134328358208,71.0,311.0,471.36846651179394,192.92604501607718,845.0704225352113,162.32785152316538,67.90787701209236,93.79070833348563,94.50831169278699,44,66.66666666666666,28,42.42424242424242,23,34.84848484848485,,,,,66.82746807646156,69.85957693480894,0.9565970910305274,1.0453721941833582,4.873300941022765,14666.646717816553,True
132283-4-1in4-a-s_Export.xls,1,10,20,72,92.85714285714286,136.6267605633803,87.5,366.0,486.6669923408934,163.9344262295082,685.7142857142857,131.7315442644439,54.54995864276677,73.9434629584368,74.47734520134405,47,67.14285714285714,24,34.285714285714285,8,11.428571428571429,,,,,52.66343583664175,56.737435106312866,0.9281955685512153,1.077359162100786,4.6794988713582555,9387.042008276432,True
132283-4-1in4-a-s_Export.xls,2,20,30,69,98.50746268656717,144.3014705882353,88.0,320.5,480.2426676757486,187.20748829953197,681.8181818181819,150.50671043704668,66.14096996758403,96.09461677500113,96.79967260748056,48,71.64179104477611,28,41.7910447761194,19,28.35820895522388,,,,,68.4477049173872,62.86011585684484,1.0888892580673462,0.918367035574293,4.837854050405043,13517.112876468336,True
132283-4-1in4-a-s_Export.xls,3,30,40,70,94.11764705882352,144.1159420289855,87.5,318.0,471.61788480007914,188.67924528301887,685.7142857142857,140.64245203486132,60.89287513424077,88.73746804644652,89.34663214711345,42,61.76470588235294,28,41.17647058823529,19,27.941176470588236,,,,,63.177609467403904,55.357068837114646,1.1412744712567928,0.8762134133244751,4.7478562576930665,10987.177678270675,True
132283-4-1in4-a-s_Export.xls,4,40,50,70,82.35294117647058,143.3913043478261,86.5,334.5,477.8571237968786,179.37219730941703,693.6416184971098,147.35103309499192,62.50816826418964,87.30874055024839,87.92139342788116,36,52.94117647058824,26,38.23529411764706,14,20.588235294117645,,,,,62.16981350422512,59.21856697249335,1.0498365070722262,0.9525292683798834,4.770157440945357,11566.110336081843,True
132283-4-1in4-a-s_Export.xls,5,50,60,67,92.3076923076923,149.3560606060606,88.0,305.0,461.85055193001153,196.72131147540983,681.8181818181819,148.33731599073081,64.62976006284478,86.83239824291037,87.50767686103536,46,70.76923076923077,31,47.69230769230769,17,26.153846153846157,,,,,61.877271714319235,68.17139475249131,0.9076720806281867,1.1017194660299725,4.829253318778406,13252.054363804513,True
132283-4-1in4-a-s_Export.xls,6,60,70,66,82.8125,152.2076923076923,92.5,304.5,440.03967941423235,197.04433497536945,648.6486486486486,132.0380554459275,56.921470871313986,79.00538945223927,79.60028490616637,42,65.625,24,37.5,17,26.5625,,,,,56.28590124153141,55.18750393230136,1.0199030075826125,0.9804853918121226,4.69636035886234,9758.661389192888,True
132283-4-1in4-a-s_Export.xls,7,70,80,68,71.21212121212122,145.23880597014926,88.0,319.5,451.79448763421385,187.79342723004694,681.8181818181819,126.52274589436928,48.45611558871213,57.62969562805115,58.02792310724088,31,46.96969696969697,16,24.242424242424242,9,13.636363636363635,,,,,41.031937927301584,53.36267476687294,0.7689258101577365,1.3005155852355392,4.544479601880078,6878.749463046406,False
132283-4-1in4-a-s_Export.xls,8,80,90,56,0.0,176.16363636363636,172.0,181.5,340.633291058743,330.57851239669424,348.83720930232556,3.7681201105113673,1.9461608585988182,1.61446012074671,1.6199155795829427,0,0.0,0,0.0,0,0.0,,,,,1.145453291272835,2.350648913484403,0.4872923747574503,2.052156060307223,1.63428513602529,8.458922111589558,False
132283-4-1in4-a-s_Export.xls,9,90,100,58,1.7857142857142856,173.07894736842104,170.5,177.0,346.6768763314961,338.9830508474576,351.90615835777123,2.2414656109991062,1.1211819086037962,1.7903511227848974,1.8065537256434872,0,0.0,0,0.0,0,0.0,,,,,1.2774263899803313,0.9599107101332794,1.3307762654330277,0.7514411144645754,1.292686703844488,3.8522688938445357,False
132283-4-1in4-a-s_Export.xls,10,100,110,57,0.0,174.07142857142858,172.0,178.5,344.709345843495,336.1344537815126,348.83720930232556,2.8480508778497424,1.4473441867106784,1.5565112504338903,1.5695438870793046,0,0.0,0,0.0,0,0.0,,,,,1.1098351259236692,1.693396761716694,0.6553898950406432,1.525809304609413,1.478137173566747,5.904281613149234,False
