file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
132384-3-1in10-s-a_Export.xls,0,0,10,73,66.19718309859155,135.90833333333333,22.2,247.0,562.263266968713,242.914979757085,2702.702702702703,456.1193477045918,47.339301928125785,45.146054059940816,45.46078558666734,28,39.436619718309856,11,15.492957746478872,6,8.450704225352112,,,,,32.14562976640014,59.065736253729796,0.5442348103189902,1.8374421867904294,4.482577542927466,5964.958588800892,False
132384-3-1in10-s-a_Export.xls,1,10,20,79,71.42857142857143,126.28205128205128,18.8,290.6,608.2158300838431,206.4693737095664,3191.4893617021276,489.94600344338187,47.158604298409415,53.435874908835615,53.78300353813506,38,49.35064935064935,22,28.57142857142857,7,9.090909090909092,,,,,38.030326514395384,55.19326765338661,0.6890392276323555,1.4512961815485503,4.526136143503626,6594.259497937009,False
132384-3-1in10-s-a_Export.xls,2,20,30,72,57.14285714285714,139.73239436619716,45.8,245.4,488.35980146312284,244.49877750611248,1310.043668122271,223.82717024824333,41.90934357003012,51.060401207085825,51.42758393346856,30,42.857142857142854,18,25.71428571428571,9,12.857142857142856,,,,,36.364793339395966,47.06882868247703,0.772587598996998,1.2943516065987044,4.4375344974142115,5377.301497878745,False
132384-3-1in10-s-a_Export.xls,3,30,40,76,60.810810810810814,131.50666666666663,23.8,319.79999999999995,558.8004396169363,187.61726078799254,2521.0084033613443,361.1362569274125,47.88609608433536,62.06591962082233,62.477477082063736,34,45.94594594594595,25,33.78378378378378,9,12.162162162162163,,,,,44.17824771615438,51.32775028099139,0.8607088265958007,1.1618330951189513,4.559680698048099,7123.781462814088,False
132384-3-1in10-s-a_Export.xls,4,40,50,75,63.013698630136986,132.90540540540542,21.2,275.6,573.4117184180046,217.70682148040638,2830.1886792452833,451.6953397244022,45.488908453590625,54.4860268627441,54.83651570895926,31,42.465753424657535,22,30.136986301369863,5,6.8493150684931505,,,,,38.77527211444772,48.997309978035666,0.7913755292245587,1.2636225951791373,4.482847074212947,5968.661702757461,False
132384-3-1in10-s-a_Export.xls,5,50,60,77,57.333333333333336,130.84736842105266,22.0,275.6,549.3576576228216,217.70682148040638,2727.2727272727275,370.6760473927671,41.88059048830524,58.03082399323082,58.42014548251484,28,37.333333333333336,18,24.0,9,12.0,,,,,41.30928102859089,42.47598605083808,0.9725325971043779,1.0282431694088234,4.44831108848381,5512.403230000367,False
132384-3-1in10-s-a_Export.xls,6,60,70,71,46.3768115942029,140.72571428571428,50.4,209.60000000000002,459.49853736919744,286.2595419847328,1190.4761904761906,160.60343842311178,31.769024589927927,38.94527561532494,39.21595552763491,23,33.33333333333333,11,15.942028985507244,3,4.3478260869565215,,,,,27.72986808430072,35.196470241723894,0.7878593476520881,1.2692620871734472,4.193566897675497,3066.1739367795985,False
132384-3-1in10-s-a_Export.xls,7,70,80,72,60.0,137.3633802816901,50.4,312.8,500.06054646315835,191.8158567774936,1190.4761904761906,231.4196315685709,43.81287886141184,59.77894039112532,60.19742818633075,30,42.857142857142854,24,34.285714285714285,9,12.857142857142856,,,,,42.56600968054468,44.94866457643618,0.9469916421690406,1.055975528685286,4.485899715506598,6010.763015960541,False
132384-3-1in10-s-a_Export.xls,8,80,90,76,79.72972972972973,130.59466666666668,20.8,282.2,585.370932965642,212.61516654854714,2884.6153846153843,429.51728692989224,51.452890795087214,62.46566624522194,62.86410588690214,41,55.4054054054054,25,33.78378378378378,8,10.81081081081081,,,,,44.451635565857664,56.73860355749163,0.7834460627994849,1.276412056276987,4.605886370605081,7923.485374868408,True
132384-3-1in10-s-a_Export.xls,9,90,100,76,79.72972972972973,131.9573333333333,20.8,225.20000000000002,546.803195722707,266.4298401420959,2884.6153846153843,374.3358317665853,43.119322731146795,57.2208287535513,57.60077292099378,40,54.054054054054056,28,37.83783783783784,6,8.108108108108109,,,,,40.729897134021165,45.343407971029805,0.8982539900848158,1.1132708688614643,4.470547454116626,5801.994919189053,True
