file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
132388-7-1in10-s-one RR irregular_Export.xls,0,0,10,62,0.0,162.69672131147541,160.0,165.5,368.8104421973309,362.5377643504532,375.0,3.132671282647575,1.3792470425458903,2.206052281036573,2.2240976079056254,0,0.0,0,0.0,0,0.0,,,,,1.5726745005708467,1.140856552032896,1.3785032813884384,0.7254244610812917,1.457989868758614,5.63663299843396,False
132388-7-1in10-s-one RR irregular_Export.xls,1,10,20,61,10.16949152542373,162.91666666666666,158.5,167.0,368.34326382139176,359.2814371257485,378.5488958990536,4.619265842739534,2.038125315641776,3.2664187614915097,3.293747508169762,0,0.0,0,0.0,0,0.0,,,,,2.3290311985431322,1.6375872474425786,1.4222333510354226,0.7031194981273461,1.7854997364623553,11.982008587153828,False
132388-7-1in10-s-one RR irregular_Export.xls,2,20,30,65,38.095238095238095,154.4453125,68.5,166.5,402.24642253706924,360.36036036036035,875.9124087591241,102.65761890384958,21.45410701561129,23.767558254831847,23.95846006110877,9,14.285714285714285,5,7.936507936507936,0,0.0,,,,,16.941189575997075,25.435901537896605,0.6660345634203932,1.5014235820803967,3.838511020165175,1353.7576075821091,False
132388-7-1in10-s-one RR irregular_Export.xls,3,30,40,60,34.48275862068966,164.95762711864407,159.0,170.0,363.8127864940346,352.94117647058823,377.35849056603774,5.548799593633832,2.510818206373929,4.550483111904069,4.590193128644776,0,0.0,0,0.0,0,0.0,,,,,3.2457566882206152,1.511850746593658,2.1468764000240173,0.46579300046747585,1.8949448620574594,15.416108281080403,False
132388-7-1in10-s-one RR irregular_Export.xls,4,40,50,61,3.389830508474576,165.23333333333332,160.5,168.5,363.1556394399596,356.08308605341244,373.8317757009346,3.48746791179126,1.5797089054597055,2.3632066694878517,2.3834920773433717,0,0.0,0,0.0,0,0.0,,,,,1.6853834107939092,1.4775497036737575,1.140661059728412,0.8766846132523338,1.6003607966500588,7.82331264997957,False
132388-7-1in10-s-one RR irregular_Export.xls,5,50,60,60,6.896551724137931,167.79661016949152,163.5,172.5,357.61751840722957,347.82608695652175,366.9724770642202,3.897335275109771,1.8291665806849846,3.13421056441155,3.161572142938229,0,0.0,0,0.0,0,0.0,,,,,2.235569101482106,1.3410572934244185,1.6670198301323373,0.5998728880871288,1.680955413545583,9.41857723754708,False
132388-7-1in10-s-one RR irregular_Export.xls,6,60,70,58,1.7857142857142856,170.66666666666666,166.0,175.5,351.6082186175658,341.88034188034186,361.4457831325301,4.047509395214647,1.9624450250110133,2.7918887615990107,2.8143302125824796,0,0.0,0,0.0,0,0.0,,,,,1.9900319778152493,1.8380449099271463,1.082689529002927,0.9236258162771025,1.7673361563252392,11.491217540455505,False
132388-7-1in10-s-one RR irregular_Export.xls,7,70,80,58,0.0,172.08771929824562,169.0,175.5,348.6914928259346,341.88034188034186,355.0295857988166,3.373510375986393,1.6666979946930351,2.957285193261839,2.9840349002172015,0,0.0,0,0.0,0,0.0,,,,,2.110031313240906,1.048789500130704,2.0118730336048807,0.49704925872394473,1.5490972138095096,6.952277583349386,False
132388-7-1in10-s-one RR irregular_Export.xls,8,80,90,58,0.0,173.78947368421052,170.5,176.5,345.2755175224246,339.94334277620396,351.90615835777123,3.260377794742451,1.639216299085624,2.8823663393617602,2.9077678099125515,0,0.0,0,0.0,0,0.0,,,,,2.056102336505121,1.0597223049631244,1.9402274792891787,0.5154034826711967,1.5423567846924244,6.845208401799959,False
132388-7-1in10-s-one RR irregular_Export.xls,9,90,100,57,14.545454545454545,174.23214285714286,118.5,199.5,345.4703099681421,300.7518796992481,506.32911392405066,23.080837670823584,8.593318908904166,14.142457032251889,14.27222703877936,3,5.454545454545454,2,3.6363636363636362,0,0.0,,,,,10.091988521754882,6.936356906766483,1.454940779057959,0.6873131981684348,3.0492281619995443,219.916620011808,False
132388-7-1in10-s-one RR irregular_Export.xls,10,100,110,58,16.071428571428573,172.89473684210526,50.5,180.5,358.5653319688045,332.409972299169,1188.118811881188,114.11329104366862,18.415525486593328,20.985007403245913,21.174688930388122,3,5.357142857142857,3,5.357142857142857,1,1.7857142857142856,,,,,14.972766132193165,21.587129966598273,0.6935968864485691,1.4417596438765892,3.7136169300405926,1015.4225881269348,False
132388-7-1in10-s-one RR irregular_Export.xls,11,110,120,57,1.8181818181818181,174.61607142857142,170.5,178.0,343.651485081177,337.07865168539325,351.90615835777123,3.771669968872891,1.909286090826458,3.257159945273015,3.2858998839188707,0,0.0,0,0.0,0,0.0,,,,,2.3234820902191227,1.3363916944304752,1.7386235636620833,0.5751676331210468,1.6961930797389981,9.754903326294853,False
132388-7-1in10-s-one RR irregular_Export.xls,12,120,130,57,0.0,175.66071428571428,172.0,179.0,341.60083899855556,335.195530726257,348.83720930232556,3.4061802731431747,1.7480044280606044,3.069646115226847,3.0975987224167447,0,0.0,0,0.0,0,0.0,,,,,2.190333062015666,1.1560483603413017,1.894672521631371,0.5277956948143046,1.6076061433995017,7.954923974565189,False
132388-7-1in10-s-one RR irregular_Export.xls,13,130,140,57,1.8181818181818181,176.28571428571428,172.0,180.5,340.40253344759105,332.409972299169,348.83720930232556,3.992671095294484,2.066743470155058,3.2828756795335288,3.3115957885386114,0,0.0,0,0.0,0,0.0,,,,,2.341651838624464,1.7100908672964643,1.3693142764550599,0.730292539261946,1.8066614940926269,12.580311191803592,False
132388-7-1in10-s-one RR irregular_Export.xls,14,140,150,56,16.666666666666664,177.15454545454546,171.0,181.0,338.74312943110255,331.49171270718233,350.87719298245617,4.406863618787702,2.2849603434291312,3.7385628056583258,3.773100292082892,0,0.0,0,0.0,0,0.0,,,,,2.6679848026287556,1.8322490599669652,1.456125622286775,0.6867539343408766,1.8932878416308365,15.357401258345268,False
132388-7-1in10-s-one RR irregular_Export.xls,15,150,160,57,10.909090909090908,178.20535714285714,173.5,182.0,336.74223128567974,329.6703296703297,345.821325648415,4.233534433208321,2.2295062350099073,3.903960692797648,3.9386498908843075,0,0.0,0,0.0,0,0.0,,,,,2.7850460465639486,1.439667703896667,1.9345061634888538,0.5169277921536908,1.8072146248555143,12.596344069527639,False
132388-7-1in10-s-one RR irregular_Export.xls,16,160,170,55,15.09433962264151,179.32407407407408,172.5,183.0,334.65129215175403,327.8688524590164,347.82608695652175,4.607423339622454,2.4401465456445086,4.104185622342332,4.143450074466159,0,0.0,0,0.0,0,0.0,,,,,2.9298616451629256,1.863176314705802,1.5725090653192177,0.6359263816371075,1.941221049776394,17.14947935823967,False
132388-7-1in10-s-one RR irregular_Export.xls,17,170,180,56,9.25925925925926,179.96363636363637,175.0,183.5,333.4458542374912,326.97547683923705,342.85714285714283,3.932053621293818,2.1056681561533823,3.5,3.5328151196265445,0,0.0,0,0.0,0,0.0,,,,,2.498077527766293,1.6414230842289121,1.5218974021800173,0.6570745166970955,1.816946432070873,12.88179317780137,False
