file,window_idx,start_time,end_time,peak_count,pRR_3.25,rr_mean_ms,is_af
132387-6-1in10-a_Export.xls,0,0,10,103,66.33663366336634,97.3921568627451,False
132387-6-1in10-a_Export.xls,1,10,20,107,69.52380952380952,93.94339622641509,False
132387-6-1in10-a_Export.xls,2,20,30,107,85.71428571428571,93.41037735849056,True
132387-6-1in10-a_Export.xls,3,30,40,107,88.57142857142857,93.02358490566037,True
132387-6-1in10-a_Export.xls,4,40,50,104,92.15686274509804,96.40776699029126,True
132387-6-1in10-a_Export.xls,5,50,60,107,82.85714285714286,93.1745283018868,True
132387-6-1in10-a_Export.xls,6,60,70,112,90.0,89.63513513513513,True
132387-6-1in10-a_Export.xls,7,70,80,105,94.1747572815534,95.4951923076923,True
132387-6-1in10-a_Export.xls,8,80,90,104,90.19607843137256,95.98058252427184,True
132387-6-1in10-a_Export.xls,9,90,100,107,88.57142857142857,93.00471698113208,True
132387-6-1in10-a_Export.xls,10,100,110,105,95.14563106796116,95.75961538461539,True
132387-6-1in10-a_Export.xls,11,110,120,103,87.12871287128714,97.11764705882354,True
132387-6-1in10-a_Export.xls,12,120,130,99,88.65979381443299,100.84693877551021,True
132387-6-1in10-a_Export.xls,13,130,140,100,91.83673469387756,97.6919191919192,True
132387-6-1in10-a_Export.xls,14,140,150,108,89.62264150943396,92.20093457943925,True
132387-6-1in10-a_Export.xls,15,150,160,108,53.77358490566038,92.6355140186916,False
132387-6-1in10-a_Export.xls,16,160,170,107,53.333333333333336,93.40094339622641,False
132387-6-1in10-a_Export.xls,17,170,180,98,79.16666666666666,102.79896907216495,True
