file,window_idx,start_time,end_time,peak_count,pRR_3.25,rr_mean_ms,is_af
132389-8-1in10-s_Export.xls,0,0,10,101,37.37373737373738,99.65800000000002,False
132389-8-1in10-s_Export.xls,1,10,20,91,52.80898876404494,108.56222222222223,False
132389-8-1in10-s_Export.xls,2,20,30,93,92.3076923076923,107.15217391304348,True
132389-8-1in10-s_Export.xls,3,30,40,100,98.9795918367347,99.70909090909092,True
132389-8-1in10-s_Export.xls,4,40,50,94,96.73913043478261,107.23870967741937,True
132389-8-1in10-s_Export.xls,5,50,60,92,98.88888888888889,108.22417582417582,True
132389-8-1in10-s_Export.xls,6,60,70,74,63.888888888888886,134.81369863013697,False
132389-8-1in10-s_Export.xls,7,70,80,76,62.16216216216216,132.76,False
132389-8-1in10-s_Export.xls,8,80,90,79,68.83116883116884,125.4179487179487,False
132389-8-1in10-s_Export.xls,9,90,100,75,64.38356164383562,133.18918918918916,False
132389-8-1in10-s_Export.xls,10,100,110,100,96.93877551020408,99.40606060606059,True
132389-8-1in10-s_Export.xls,11,110,120,108,99.05660377358491,92.97943925233645,True
132389-8-1in10-s_Export.xls,12,120,130,109,99.06542056074767,91.6037037037037,True
132389-8-1in10-s_Export.xls,13,130,140,111,100.0,90.36909090909091,True
132389-8-1in10-s_Export.xls,14,140,150,114,99.10714285714286,87.61592920353984,True
132389-8-1in10-s_Export.xls,15,150,160,113,98.1981981981982,88.54821428571428,True
132389-8-1in10-s_Export.xls,16,160,170,114,99.10714285714286,87.84424778761061,True
132389-8-1in10-s_Export.xls,17,170,180,112,95.45454545454545,88.76576576576576,True
