file,window_idx,start_time,end_time,peak_count,pRR_3.25,rr_mean_ms,is_af
132392-3-1in10-s-irregualr p RR_Export.xls,0,0,10,67,33.84615384615385,150.71969696969697,False
132392-3-1in10-s-irregualr p RR_Export.xls,1,10,20,67,44.61538461538462,147.8560606060606,False
132392-3-1in10-s-irregualr p RR_Export.xls,2,20,30,65,50.79365079365079,153.3203125,False
132392-3-1in10-s-irregualr p RR_Export.xls,3,30,40,63,21.311475409836063,159.41935483870967,False
132392-3-1in10-s-irregualr p RR_Export.xls,4,40,50,63,24.59016393442623,160.21774193548387,False
132392-3-1in10-s-irregualr p RR_Export.xls,5,50,60,61,18.64406779661017,163.2,False
132392-3-1in10-s-irregualr p RR_Export.xls,6,60,70,64,25.806451612903224,155.0952380952381,False
132392-3-1in10-s-irregualr p RR_Export.xls,7,70,80,61,15.254237288135593,165.10833333333332,False
132392-3-1in10-s-irregualr p RR_Export.xls,8,80,90,64,29.03225806451613,153.84920634920636,False
132392-3-1in10-s-irregualr p RR_Export.xls,9,90,100,83,88.88888888888889,120.98780487804878,True
132392-3-1in10-s-irregualr p RR_Export.xls,10,100,110,81,86.07594936708861,124.33125,True
132392-3-1in10-s-irregualr p RR_Export.xls,11,110,120,87,96.47058823529412,113.68023255813954,True
132392-3-1in10-s-irregualr p RR_Export.xls,12,120,130,80,76.92307692307693,123.39873417721519,True
132392-3-1in10-s-irregualr p RR_Export.xls,13,130,140,62,25.0,163.327868852459,False
132392-3-1in10-s-irregualr p RR_Export.xls,14,140,150,86,70.23809523809523,114.87058823529412,False
132392-3-1in10-s-irregualr p RR_Export.xls,15,150,160,83,92.5925925925926,121.22560975609755,True
132392-3-1in10-s-irregualr p RR_Export.xls,16,160,170,72,82.85714285714286,138.51408450704224,True
132392-3-1in10-s-irregualr p RR_Export.xls,17,170,180,74,84.72222222222221,134.8013698630137,True
132392-3-1in10-s-irregualr p RR_Export.xls,18,180,190,76,82.43243243243244,131.32,True
