file,window_idx,start_time,end_time,peak_count,pRR_3.25,rr_mean_ms,is_af
132393-4-1in10-s-a_Export.xls,0,0,10,66,32.8125,151.0769230769231,False
132393-4-1in10-s-a_Export.xls,1,10,20,63,44.26229508196721,158.50967741935483,False
132393-4-1in10-s-a_Export.xls,2,20,30,59,28.07017543859649,169.88965517241377,False
132393-4-1in10-s-a_Export.xls,3,30,40,58,26.785714285714285,172.05263157894737,False
132393-4-1in10-s-a_Export.xls,4,40,50,54,19.230769230769234,186.3622641509434,False
132393-4-1in10-s-a_Export.xls,5,50,60,53,19.607843137254903,187.0076923076923,False
132393-4-1in10-s-a_Export.xls,6,60,70,55,13.20754716981132,184.1851851851852,False
132393-4-1in10-s-a_Export.xls,7,70,80,55,28.30188679245283,180.11111111111111,False
132393-4-1in10-s-a_Export.xls,8,80,90,59,28.07017543859649,169.27931034482756,False
132393-4-1in10-s-a_Export.xls,9,90,100,59,38.59649122807017,169.76206896551724,False
132393-4-1in10-s-a_Export.xls,10,100,110,55,37.735849056603776,181.1074074074074,False
132393-4-1in10-s-a_Export.xls,11,110,120,67,61.53846153846154,149.02121212121213,False
132393-4-1in10-s-a_Export.xls,12,120,130,68,62.121212121212125,147.2537313432836,False
132393-4-1in10-s-a_Export.xls,13,130,140,66,62.5,149.79076923076923,False
132393-4-1in10-s-a_Export.xls,14,140,150,67,61.53846153846154,149.9090909090909,False
132393-4-1in10-s-a_Export.xls,15,150,160,67,64.61538461538461,146.7969696969697,False
132393-4-1in10-s-a_Export.xls,16,160,170,62,53.333333333333336,163.65245901639344,False
132393-4-1in10-s-a_Export.xls,17,170,180,61,61.016949152542374,163.07,False
132393-4-1in10-s-a_Export.xls,18,180,190,63,62.295081967213115,158.17096774193547,False
132393-4-1in10-s-a_Export.xls,19,190,200,60,34.48275862068966,164.95254237288137,False
132393-4-1in10-s-a_Export.xls,20,200,210,63,39.34426229508197,159.941935483871,False
132393-4-1in10-s-a_Export.xls,21,210,220,61,42.3728813559322,163.77666666666664,False
132393-4-1in10-s-a_Export.xls,22,220,230,62,40.0,160.42295081967214,False
