file,window_idx,start_time,end_time,peak_count,pRR_3.25,rr_mean_ms,is_af
132283-4-1in4-a-s_Export.xls,0,0,10,70,94.11764705882352,141.7246376811594,True
132283-4-1in4-a-s_Export.xls,1,10,20,80,94.87179487179486,125.72784810126583,True
132283-4-1in4-a-s_Export.xls,2,20,30,79,96.1038961038961,125.78846153846155,True
132283-4-1in4-a-s_Export.xls,3,30,40,79,87.01298701298701,124.58333333333333,True
132283-4-1in4-a-s_Export.xls,4,40,50,81,83.54430379746836,123.6,True
132283-4-1in4-a-s_Export.xls,5,50,60,78,89.47368421052632,128.48701298701297,True
132283-4-1in4-a-s_Export.xls,6,60,70,70,80.88235294117648,140.8985507246377,True
132283-4-1in4-a-s_Export.xls,7,70,80,78,71.05263157894737,128.02597402597402,False
132283-4-1in4-a-s_Export.xls,8,80,90,63,32.78688524590164,160.48387096774192,False
132283-4-1in4-a-s_Export.xls,9,90,100,63,27.86885245901639,156.3709677419355,False
132283-4-1in4-a-s_Export.xls,10,100,110,63,24.59016393442623,159.50806451612902,False
132283-4-1in4-a-s_Export.xls,11,110,120,62,25.0,161.78688524590163,False
132283-4-1in4-a-s_Export.xls,12,120,130,56,0.0,179.4090909090909,False
132283-4-1in4-a-s_Export.xls,13,130,140,55,0.0,181.21296296296296,False
132283-4-1in4-a-s_Export.xls,14,140,150,55,0.0,182.15740740740742,False
132283-4-1in4-a-s_Export.xls,15,150,160,54,0.0,184.61320754716982,False
132283-4-1in4-a-s_Export.xls,16,160,170,53,0.0,186.64423076923077,False
132283-4-1in4-a-s_Export.xls,17,170,180,53,0.0,188.98076923076923,False
132283-4-1in4-a-s_Export.xls,18,180,190,54,5.769230769230769,185.5188679245283,False
132283-4-1in4-a-s_Export.xls,19,190,200,54,3.8461538461538463,185.87735849056602,False
