file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,0,0,10,83,30.864197530864196,120.04878048780488,52.0,131.0,529.4069177698816,458.01526717557255,1153.8461538461538,169.2070233092326,21.498149469040232,23.30527413417692,23.45036128601102,11,13.580246913580247,10,12.345679012345679,0,0.0,,,,,16.58190948661288,25.680434619028983,0.6457020581079195,1.548701893455735,3.8333568923633794,1337.7864179303115,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,1,10,20,81,26.582278481012654,123.7,54.0,134.0,510.2730881911395,447.76119402985074,1111.111111111111,156.61174456865263,20.388256734165083,21.104022053519632,21.228138992908434,7,8.860759493670885,7,8.860759493670885,0,0.0,,,,,15.01056103385612,24.1242624539776,0.622218443465043,1.6071526173848965,3.7629709519924184,1137.6294915110136,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,2,20,30,80,28.205128205128204,125.37974683544304,56.0,135.0,501.7788975348174,444.44444444444446,1071.4285714285713,146.0281306369335,20.34844150616842,22.03900970365839,22.181643492431036,8,10.256410256410255,8,10.256410256410255,0,0.0,,,,,15.684790531360436,24.308005283838504,0.645252061952968,1.5497819518365048,3.785348027851747,1197.782373909896,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,3,30,40,78,18.421052631578945,128.0,57.0,135.0,487.34203839177974,444.44444444444446,1052.6315789473683,131.53116411502384,18.44978961511771,19.614039010764444,19.744366285095097,6,7.894736842105263,6,7.894736842105263,0,0.0,,,,,13.961375290421785,22.23221149751359,0.6279796003192575,1.5924084150052193,3.696030849291482,975.1260068422702,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,4,40,50,78,17.105263157894736,128.6103896103896,59.0,136.0,483.8111069373751,441.1764705882353,1016.9491525423729,124.89379211086991,18.138470199054716,15.470685352083077,15.573391612484079,4,5.263157894736842,4,5.263157894736842,0,0.0,,,,,11.012050815261192,23.34283014756877,0.47175302847363315,2.1197532175586047,3.6141416993735374,807.5540311953029,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,5,50,60,79,22.07792207792208,126.3974358974359,63.0,137.0,501.1669791425367,437.95620437956205,952.3809523809524,149.66260089472073,22.686651343557713,21.704329569878958,21.846650656513084,8,10.38961038961039,8,10.38961038961039,0,0.0,,,,,15.447914825433942,28.32064838744764,0.5454647299770443,1.8332991026607433,3.8450930409734387,1374.4309651687875,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,6,60,70,83,24.691358024691358,120.47560975609755,63.0,137.0,540.950152698479,437.95620437956205,952.3809523809524,185.51146603856884,28.236752869028166,30.177049573933736,30.365047523610286,16,19.753086419753085,16,19.753086419753085,0,0.0,,,,,21.471331014996615,33.88965163076069,0.6335659997020355,1.5783675267774746,4.066046054509916,2285.9985182076225,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,7,70,80,98,47.91666666666667,101.77319587628865,63.0,138.0,663.3722156457031,434.7826086956522,952.3809523809524,221.9279081656508,34.230683468514755,42.47021014782008,42.68772652196454,37,38.54166666666667,37,38.54166666666667,0,0.0,,,,,30.184780897117964,37.87510566831418,0.7969556880304669,1.254774907838754,4.262261863591295,3591.63134943646,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,8,80,90,91,44.9438202247191,110.07777777777778,67.0,143.0,610.8148910663967,419.5804195804196,895.5223880597015,215.37439194258147,33.99974480333103,37.345486919551966,37.548507952223645,27,30.337078651685395,27,30.337078651685395,0,0.0,,,,,26.550804596454345,40.04165508544338,0.6630795989775793,1.5081145635334394,4.2307096894933025,3339.947032868399,False
134403-132561-5-LKB1H2B-full dose1E14-4w-s-one a_Export.xls,9,90,100,84,48.78048780487805,119.3132530120482,68.0,152.0,553.0596889913056,394.7368421052632,882.3529411764706,193.99337323605857,31.29713136969249,34.415857093964625,34.62764680882911,22,26.82926829268293,20,24.390243902439025,0,0.0,,,,,24.485443875055775,36.35447388913082,0.6735194119361573,1.4847382009752523,4.153585828071791,2796.5057595023036,False
