file,window_idx,start_time,end_time,peak_count,is_af,pRR_3.25,note,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,0,0,10,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,1,10,20,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,2,20,30,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,3,30,40,23,True,76.19047619047619,,67.04545454545455,50.0,149.0,970.2716197373655,402.6845637583893,1200.0,242.19935646031928,23.416472168778302,37.28589673372621,38.19766883936642,11.0,52.38095238095239,2.0,9.523809523809524,0.0,0.0,,,,,27.009830661834076,20.167925974061838,1.339246816780847,0.7466883530876737,3.9403030826449004,1711.3268830277214
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,4,40,50,146,True,77.08333333333334,,68.52413793103449,50.0,148.0,922.6353443338927,405.4054054054054,1200.0,200.4730045844434,16.934958402427625,23.886450133914835,23.969798361453385,55.0,38.19444444444444,2.0,1.3888888888888888,0.0,0.0,,,,,16.949206965057883,16.94267309260618,1.0003856459022722,0.9996145027631576,3.662251296751941,902.1550547195125
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,5,50,60,147,False,64.13793103448275,,68.24657534246575,54.0,171.0,911.5592103764073,350.87719298245617,1111.111111111111,140.81864523008792,17.398201113446746,27.069514600185485,27.16317056694675,24.0,16.551724137931036,7.0,4.827586206896552,6.0,4.137931034482759,,,,,19.207262106414884,15.479335192690376,1.2408324948919578,0.8059105512763609,3.67733775019386,934.0446564307698
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,6,60,70,139,False,72.99270072992701,,71.3913043478261,54.0,167.0,880.4748821079803,359.2814371257485,1111.111111111111,161.84442526279113,18.785160622154045,28.305940672803345,28.409812255177076,38.0,27.73722627737226,12.0,8.75912408759124,2.0,1.4598540145985401,,,,,20.088770897872394,17.529852474569292,1.1459748977930844,0.8726194630665972,3.7508516097736955,1106.3218753808744
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,7,70,80,131,True,92.24806201550388,,76.67692307692307,50.0,159.0,835.3239817782788,377.35849056603774,1200.0,202.05795886714452,21.254170729644798,30.316419170440124,30.433832232892474,63.0,48.837209302325576,8.0,6.2015503875969,1.0,0.7751937984496124,,,,,21.519969149371995,21.01932913272739,1.0238180778027355,0.9767360253553515,3.8595804777281733,1421.0533009195103
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,8,80,90,121,True,76.47058823529412,,68.95833333333333,50.0,217.0,954.2302996448212,276.49769585253455,1200.0,247.1097824523346,26.02790869071745,37.2175074009915,37.352858073605475,61.0,51.26050420168067,9.0,7.563025210084033,5.0,4.201680672268908,,,,,26.41245924054511,21.939507152116402,1.2038765983855395,0.8306499198846887,3.9671556898985965,1820.4786076871499
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,9,90,100,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,10,100,110,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,11,110,120,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,12,120,130,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,13,130,140,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,14,140,150,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,15,150,160,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,16,160,170,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,17,170,180,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,18,180,190,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
134408-131592-4-TBX5H2B-1in2-5E13-2w-s_Export.xls,19,190,200,0,False,0.0,Insufficient peaks,,,,,,,,,,,,,,,,,,,,,,,,,,
