file,window_idx,start_time,end_time,peak_count,pRR_3.25,RR_Mean,RR_Min,RR_Max,HR_Mean,HR_Min,HR_Max,HR_Std,SDNN,RMSSD,SDSD,NN20,pNN20,NN50,pNN50,NN100,pNN100,VLF,LF,HF,LFHF,SD1,SD2,SD1SD2,CSI,CVI,Area,is_af,note
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,0,0,10,77,38.666666666666664,129.1578947368421,63.0,174.0,493.0666002557598,344.82758620689657,952.3809523809524,149.04528691644367,25.683225462847115,32.01145628260816,32.22695419329255,21.0,28.000000000000004,13.0,17.333333333333336,0.0,0.0,,,,,22.787897847065405,28.57486452956309,0.7974805208083985,1.2539491234046813,4.017808426729682,2045.6829088790503,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,1,10,20,78,30.263157894736842,127.63636363636364,50.0,167.0,506.2511511093219,359.2814371257485,1200.0,179.10315243678872,26.654173708381112,29.54590540693904,29.72976239275761,16.0,21.052631578947366,11.0,14.473684210526317,0.0,0.0,,,,,21.022116590983703,30.836869877788327,0.6817201834783448,1.4668775022879537,4.015866711251566,2036.557147639327,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,2,20,30,78,30.263157894736842,129.54545454545453,51.0,174.0,504.08789529093156,344.82758620689657,1176.4705882352941,198.0378203193803,28.068780866474114,34.06224951622049,34.28856901231488,20.0,26.31578947368421,13.0,17.105263157894736,0.0,0.0,,,,,24.24567966579077,31.70642748496981,0.7646928900231428,1.3077145257225236,4.08990165636078,2415.0801389289336,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,3,30,40,71,21.73913043478261,140.5857142857143,51.0,178.0,437.478061652741,337.07865168539325,1176.4705882352941,101.7910616730863,15.985947503928056,19.50919515644287,19.65212157383882,7.0,10.144927536231885,3.0,4.3478260869565215,0.0,0.0,,,,,13.896148429563876,18.037193977484836,0.7704163101483482,1.2979995189970006,3.603183402809229,787.4324224389379,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,4,40,50,69,25.37313432835821,144.5735294117647,93.0,179.0,418.26914164783574,335.195530726257,645.1612903225806,41.62559541722709,11.809831695276772,18.382746615626523,18.52143135039244,9.0,13.432835820895523,3.0,4.477611940298507,0.0,0.0,,,,,13.096629705143608,10.561882858470648,1.239990054864137,0.8064580809154698,3.3450208775087678,434.56101990695157,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,5,50,60,68,9.090909090909092,147.1044776119403,141.0,149.0,407.9263380938023,402.6845637583893,425.531914893617,4.734227836699811,1.6709127278790323,2.5015146926563827,2.5202674960702587,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.7820982368753202,1.555237785280622,1.1458686599192702,0.8727003669604271,1.6468484222978386,8.70719583453394,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,6,60,70,67,20.0,149.63636363636363,144.0,152.0,401.0454755917109,394.7368421052632,416.6666666666667,5.5228936685683925,2.020177933034336,2.914156428935772,2.9366713233759176,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0765402068751837,1.9854034660685294,1.0459033855658175,0.9561112563556866,1.8193091029067743,12.95206433450258,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,7,70,80,68,16.666666666666664,147.13432835820896,52.0,153.0,421.69908618080495,392.15686274509807,1153.8461538461538,115.02502703050976,18.56266660767027,18.04287822231959,18.147877411572257,4.0,6.0606060606060606,3.0,4.545454545454546,1.0,1.5151515151515151,,,,,12.832487181864911,21.50207882832248,0.5968021643080386,1.6755971405691006,3.644911271464403,866.8444271585684,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,8,80,90,65,20.634920634920633,153.703125,146.0,156.0,390.44587529456777,384.61538461538464,410.958904109589,5.827544037058868,2.2231087021527536,3.330951530004316,3.3576684666598706,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.3742301417514313,2.0923384488011942,1.134725666926279,0.8812702745226332,1.9002747325937892,15.606467871440556,False,
134399-132561-1-LKB1H2B-1in10-1E13-4w-s-a_Export.xls,9,90,100,64,17.741935483870968,155.22222222222223,148.0,158.0,386.6161871154612,379.746835443038,405.4054054054054,5.454266380866137,2.1284891237262142,3.146939117055113,3.1724621556501282,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.2432695033178973,2.030700384292769,1.104677736149225,0.9052413815144685,1.8626472859194834,14.311237068614425,False,
